key;name;year;for_pop;for_anwerber;for_EU28;for_EUeast;for_notEU;for_syria;for_afghan;for_iraq;ss_total;ss_anwerber;ss_syria;ss_afghan;ss_iraq;ss_total_accept;ss_anwerber_accept;ss_syria_accept;ss_afghan_accept;ss_iraq_accept;ss_total_denied;ss_anwerber_denied;ss_syria_denied;ss_afghan_denied;ss_iraq_denied;ss_total_duldung;ss_anwerber_duldung;ss_syria_duldung;ss_afghan_duldung;ss_iraq_duldung
05315;Köln, Stadt  ;2013;193450;114680;68260;23495;125190;670;1225;4085;12980;4220;290;620;2275;10315;2780;240;505;2085;1605;1110;25;40;100;1390;990;15;35;95
05316;Leverkusen, Stadt  ;2013;21075;13240;8805;3570;12265;145;75;265;1675;535;115;40;165;1300;400;105;30;135;150;85;5;0;10;130;75;0;0;10
05334;Städteregion Aachen  ;2013;67430;32900;24580;9570;42850;660;390;930;5670;1785;275;225;620;4180;1310;220;120;515;805;335;15;15;70;635;245;10;15;65
05358;Düren  ;2013;23000;11200;9200;4500;13800;160;50;315;2235;950;115;35;190;1465;695;85;20;155;415;195;5;5;20;385;180;5;5;20
05362;Rhein-Erft-Kreis  ;2013;55160;29820;25230;13045;29930;215;345;565;3490;1260;135;175;335;2395;925;105;120;275;545;255;20;10;30;440;220;10;5;30
05366;Euskirchen  ;2013;9000;4105;4225;1550;4775;75;30;100;1040;460;45;25;60;610;330;40;5;55;195;100;0;0;10;190;95;0;0;10
05370;Heinsberg  ;2013;23955;9140;14115;3160;9840;65;35;155;1345;440;50;25;115;735;315;35;10;75;270;90;0;5;30;235;80;0;5;30
05374;Oberbergischer Kreis  ;2013;20785;13195;9765;3830;11020;110;45;100;1550;595;70;40;75;900;470;55;25;35;285;70;0;5;20;240;55;0;5;20
05378;"Rheinisch-Bergischer  Kreis  ";2013;22220;12600;10855;3570;11360;80;100;300;1735;600;60;70;225;1070;420;45;30;195;310;135;0;5;15;285;115;0;5;15
05382;Rhein-Sieg-Kreis  ;2013;50225;27310;22565;8825;27665;500;265;350;4295;1700;290;180;235;2880;1295;230;110;175;685;295;15;15;40;535;220;5;10;35
