key;wahlberechtigte;wähler_14;ungültige_14;gültige_14;cdu_14;spd_14;grüne_14;fdp_14;die linke_14;csu_14;freie wähler_14;rep_14;tierschutzpartei_14;familie_14;piraten_14;ödp_14;pbc_14;volksabstimmung_14;bp_14;cm_14;auf_14;dkp_14;büso_14;psg_14;afd_14;pro nrw_14;mlpd_14;npd_14;die partei_14
9775;122776;45719;190;45529;0;9322;4628;1493;1397;18288;1524;137;457;178;523;1026;105;145;349;58;244;19;10;13;4909;22;12;463;207
9776;59362;23694;101;23593;0;3814;3184;832;670;9623;1640;59;255;74;218;973;40;73;140;78;103;6;4;6;1616;8;5;88;84
9777;103730;42411;173;42238;0;6022;4821;1096;726;18902;2751;148;379;152;340;1303;46;68;1297;84;333;11;4;8;3412;9;6;173;147
9778;106402;41387;210;41177;0;5139;3624;1079;835;18769;3185;166;401;124;302;2017;98;110;462;167;253;11;21;14;3961;18;11;306;104
9779;99971;40570;159;40411;0;6596;3391;887;894;20635;1657;167;359;171;269;982;47;103;482;68;109;18;14;8;3146;13;11;256;128
9780;117420;49173;186;48987;0;6552;5560;1388;923;20415;6689;270;440;140;359;971;65;99;433;87;239;7;13;5;4031;10;6;163;122
10041;251551;121445;2797;118648;36080;40328;9426;3329;9802;0;1005;221;2125;1407;2320;277;52;281;31;128;167;151;28;27;8342;69;103;1981;968
10042;81279;49068;1708;47360;19507;15082;2198;979;2588;0;371;66;776;557;804;73;41;120;28;66;302;27;20;11;2888;23;11;590;232
10043;109755;56433;1826;54607;17740;20853;2489;957;3838;0;285;83;1028;851;980;75;41;177;34;53;73;42;18;14;3944;23;14;674;321
10044;158330;85962;3022;82940;30144;28746;4516;1752;5129;0;752;162;1385;1047;1265;121;44;250;32;107;168;32;24;20;5532;26;36;1184;466
10045;117837;67638;2306;65332;22037;22317;4186;1560;3979;0;532;129;1142;1669;1039;134;79;200;42;69;144;30;15;19;4799;23;27;767;394
10046;74441;48723;2036;46687;19674;15683;1947;704;2294;0;305;85;793;680;652;72;31;116;33;47;92;16;11;12;2743;18;6;398;275
11;2519758;1177832;18166;1159666;232274;278694;220998;31953;188344;0;3454;2863;18601;6107;37442;3674;872;3883;468;550;1095;3009;692;745;91759;646;1169;11842;18532
12051;60560;22078;649;21429;5978;6368;1223;303;3908;0;126;48;341;325;373;45;16;74;11;22;28;69;10;6;1671;8;24;288;164
12052;82908;33305;732;32573;7751;8295;1964;690;6993;0;219;91;462;508;554;72;34;138;16;23;58;108;11;23;3175;14;55;760;559
12053;47810;19836;451;19385;4154;4288;1229;296;5103;0;99;55;248;329;323;34;16;87;10;12;14;66;10;11;2482;7;23;316;173
12054;128782;63897;961;62936;10390;17115;8435;1625;14472;0;255;135;978;863;1694;210;63;202;19;35;59;232;44;39;4544;38;77;504;908
12060;148233;66884;1571;65313;14546;15976;4172;1242;16107;0;830;270;1205;1152;1044;138;56;346;43;30;78;256;59;44;5429;34;74;1752;430
